"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FST",7.64763247219477e-14,-0.0543564113627766,0.349,0.454,1.52952649443895e-10
"REG3G",9.1902398061288e-14,0.0113166480635193,0.204,0.604,1.83804796122576e-10
"AC245595.1",1.0792800689423e-13,-0.0140152655207263,0.427,0.76,2.1585601378846e-10
"DDX60",1.39122160935775e-13,0.0416360209255571,0.227,0.59,2.7824432187155e-10
"ITGA8",2.08888178110813e-13,-0.0171113773534336,0.303,0.667,4.17776356221626e-10
"TFAP2A",3.34090169793438e-13,-0.051784662850454,0.238,0.389,6.68180339586877e-10
"TMEM38A",3.76651907481833e-13,0.0103392939831566,0.269,0.624,7.53303814963666e-10
"SIX1",3.87497488542202e-13,0.0310173560153509,0.237,0.364,7.74994977084405e-10
"HIST1H3B",3.90871939641716e-13,-0.0471006794273195,0.482,0.784,7.81743879283433e-10
"TRIB3",4.55009248100568e-13,-0.0210337198894668,0.352,0.68,9.10018496201135e-10
"CDH3",5.89960081362597e-13,-0.0140425592250455,0.246,0.644,1.17992016272519e-09
"SGK1",6.58287793606138e-13,0.0109681649927266,0.147,0.316,1.31657558721228e-09
"NEXN",6.85281885645104e-13,0.0395982139260267,0.311,0.675,1.37056377129021e-09
"PRNP",8.07181709125297e-13,-0.0114374887236684,0.282,0.64,1.61436341825059e-09
"PURPL",9.95864265016427e-13,-0.0178139994596378,0.426,0.5,1.99172853003285e-09
"ERBB4",1.15021353759643e-12,0.0176893677634975,0.536,0.835,2.30042707519287e-09
"PCGF5",1.43685076894416e-12,0.026753075666798,0.613,0.929,2.87370153788832e-09
"COPZ2",1.49672411766339e-12,0.0163302489218615,0.307,0.667,2.99344823532678e-09
"WNT5B",1.50838859723257e-12,-0.0313900068906061,0.164,0.54,3.01677719446514e-09
"HIST1H2AL",1.70397596359063e-12,0.024808899462825,0.455,0.528,3.40795192718126e-09
"DACT2",2.08444111579295e-12,0.028423220075934,0.158,0.515,4.1688822315859e-09
"DDX58",2.7606152206444e-12,0.0128312488748494,0.272,0.61,5.5212304412888e-09
"NEUROG1",3.03260670936251e-12,-0.0151881715596153,0.302,0.455,6.06521341872502e-09
"THY1",3.14466648512304e-12,-0.0683488617546503,0.44,0.713,6.28933297024608e-09
"BMP4",3.48594337839634e-12,-0.0208410015487874,0.225,0.592,6.97188675679269e-09
"ANKRD45",4.00314502491715e-12,0.0132438161635242,0.391,0.697,8.00629004983429e-09
"EFNA5",4.2131771592038e-12,0.0517743541322928,0.292,0.398,8.4263543184076e-09
"LSR",4.35630848467439e-12,-0.0410321697316908,0.276,0.427,8.71261696934878e-09
"SOCS1",7.08490424617365e-12,0.0101220850403789,0.224,0.602,1.41698084923473e-08
"PMEL",7.8303073101308e-12,-0.0234872810669238,0.411,0.689,1.56606146202616e-08
"GXYLT2",1.07067578392864e-11,-0.012884636756896,0.199,0.328,2.14135156785729e-08
"ACKR3",1.10357708720926e-11,0.0720956532125822,0.671,0.969,2.20715417441851e-08
"PLSCR1",1.1314916260482e-11,0.0271086025234897,0.383,0.73,2.2629832520964e-08
"LPP",1.2077489831329e-11,-0.0759577560442447,0.492,0.799,2.4154979662658e-08
"TWIST1",1.29761266024122e-11,-0.0197929591122376,0.3,0.424,2.59522532048244e-08
"STC2",1.4414669639774e-11,-0.0281938888216284,0.247,0.401,2.88293392795479e-08
"TUBA1B",1.50789510049169e-11,0.0947928584417328,1,1,3.01579020098338e-08
"PMP22",1.98068046467447e-11,0.021442103821055,0.275,0.646,3.96136092934894e-08
"SLC7A8",2.4080273182327e-11,-0.0256231609225338,0.149,0.344,4.8160546364654e-08
"MIR503HG",2.83107927290453e-11,-0.0184279981791384,0.288,0.635,5.66215854580906e-08
"PLXDC2",2.87340064543186e-11,0.0192871764982173,0.414,0.759,5.74680129086371e-08
"KIF5A",2.99024734547069e-11,0.021335702725734,0.446,0.741,5.98049469094137e-08
"PDLIM4",3.17651896858505e-11,0.0428417245115414,0.401,0.761,6.35303793717009e-08
"KLHDC8B",3.299745849114e-11,-0.0220029823075403,0.359,0.467,6.59949169822799e-08
"OTX1",3.85663536509945e-11,-0.0186651454577671,0.289,0.429,7.71327073019889e-08
"LGI2",3.94412460075793e-11,0.0100420228298882,0.338,0.656,7.88824920151586e-08
"MCM10",4.21176434500827e-11,0.100049293047432,0.598,0.631,8.42352869001654e-08
"DDIT4",6.57117347674902e-11,-0.0771532015809016,0.61,0.873,1.3142346953498e-07
"NPAS3",8.40040655369407e-11,0.0349085807760097,0.587,0.928,1.68008131073881e-07
"CD3EAP",8.48903375502803e-11,0.072410778431635,0.345,0.452,1.69780675100561e-07
"DKK3",8.75713777878131e-11,0.0242882282992622,0.464,0.785,1.75142755575626e-07
"VLDLR",1.09969633936357e-10,0.0190954158067884,0.191,0.355,2.19939267872713e-07
"PRKCG",1.20051417858121e-10,-0.019235394446369,0.369,0.666,2.40102835716241e-07
"LTBP1",1.3041222807171e-10,0.0771340058218206,0.439,0.532,2.60824456143419e-07
"TEX15",1.46198682834648e-10,-0.0162570644268202,0.332,0.653,2.92397365669295e-07
"GABRB3",1.66211478969216e-10,-0.0171142610028641,0.493,0.535,3.32422957938433e-07
"CHI3L1",1.66722573424945e-10,-0.0140435600621618,0.19,0.37,3.3344514684989e-07
"SLC9A3R1",1.72784029493378e-10,-0.0858106715658017,0.552,0.807,3.45568058986757e-07
"MAPT",1.7881230190704e-10,-0.0104081223631999,0.359,0.671,3.5762460381408e-07
"TGFBI",1.9133877206302e-10,0.0576808962267506,0.229,0.598,3.82677544126039e-07
"PDE5A",2.02896365066677e-10,0.0208681360011461,0.311,0.672,4.05792730133355e-07
"P4HA1",2.0686345099557e-10,-0.011581296857106,0.499,0.807,4.1372690199114e-07
"FBLN2",2.22860152363467e-10,-0.0131977562000976,0.329,0.649,4.45720304726934e-07
"KIF4A",3.23051918716306e-10,0.155430194322234,0.744,0.753,6.46103837432611e-07
"CYP1B1",3.41401708094368e-10,-0.0401488359753456,0.352,0.486,6.82803416188736e-07
"ZBTB20",3.66283385430635e-10,0.020546586984709,0.55,0.813,7.3256677086127e-07
"CASZ1",3.85050134427438e-10,-0.0174181118244713,0.357,0.469,7.70100268854876e-07
"SPRR2F",3.98906903443376e-10,-0.0119885052821431,0.329,0.506,7.97813806886752e-07
"CBFA2T2",5.96545214532817e-10,-0.0219027706178859,0.382,0.688,1.19309042906563e-06
"FAM171B",6.37421640890398e-10,0.0176384835641514,0.245,0.398,1.2748432817808e-06
"DSP",6.38152330267972e-10,-0.148207306990738,0.25,0.389,1.27630466053594e-06
"HSPA4L",6.82383047846891e-10,-0.0277494485895435,0.62,0.891,1.36476609569378e-06
"CDH7",7.97639684002806e-10,-0.0237281625917269,0.14,0.347,1.59527936800561e-06
"SLCO3A1",8.36720516792569e-10,0.0226193798409073,0.43,0.73,1.67344103358514e-06
"MYH3",8.57688971744898e-10,0.0170844617928092,0.335,0.469,1.7153779434898e-06
"NPNT",1.06763723782053e-09,-0.0202827935794141,0.373,0.675,2.13527447564105e-06
"LIMA1",1.08802715471458e-09,0.0176611016809502,0.556,0.884,2.17605430942916e-06
"ZCCHC24",1.12811730147965e-09,-0.0170202638306822,0.239,0.595,2.25623460295931e-06
"THSD4",1.19130720562716e-09,0.0148588143123174,0.117,0.354,2.38261441125432e-06
"VEGFD",1.27993045324736e-09,0.0172052530162428,0.209,0.582,2.55986090649472e-06
"SLIT2",1.41902079779976e-09,0.0665395314994946,0.345,0.698,2.83804159559952e-06
"RPRML",1.48671202718532e-09,-0.0206370101430496,0.607,0.951,2.97342405437064e-06
"MAB21L2",1.51559961028353e-09,-0.0167687180845253,0.227,0.569,3.03119922056706e-06
"TENT5A",1.70071262918821e-09,-0.0108863662172875,0.178,0.398,3.40142525837643e-06
"EPHA4",1.78063948361502e-09,0.0258824747794021,0.636,0.912,3.56127896723004e-06
"BFSP2",1.92634679361515e-09,-0.0322812158298759,0.282,0.47,3.85269358723031e-06
"SNCG",2.09682879744213e-09,-0.0107041729101416,0.231,0.436,4.19365759488426e-06
"MIAT",2.28499505871032e-09,-0.0784087778133168,0.663,0.953,4.56999011742063e-06
"PLPP3",2.31808964386398e-09,0.0337749437366954,0.459,0.776,4.63617928772795e-06
"AC004540.2",2.34159990835046e-09,-0.0190596535161188,0.43,0.698,4.68319981670092e-06
"SYT1",2.59621755205404e-09,0.0111093622207382,0.343,0.488,5.19243510410809e-06
"HLA-A",2.73782069425371e-09,-0.0513441943176384,0.252,0.414,5.47564138850743e-06
"ASNS",2.76000027640396e-09,-0.0275516848930628,0.361,0.501,5.52000055280793e-06
"STMN2",2.78266851594887e-09,0.0530827702028092,0.4,0.518,5.56533703189775e-06
"LITAF",2.84937509778194e-09,0.0598563299691695,0.453,0.783,5.69875019556388e-06
"HOXC5",3.68313558544192e-09,-0.0280386104312643,0.134,0.329,7.36627117088384e-06
"TUBB4A",3.82508948938638e-09,-0.0262811929287808,0.247,0.439,7.65017897877277e-06
"CSTA",3.87777112691595e-09,-0.0100907236633752,0.258,0.611,7.7555422538319e-06
"PIF1",3.89372554946443e-09,0.0331279350387516,0.675,0.938,7.78745109892886e-06
"MYLPF",4.2697167101276e-09,-0.0243064703559875,0.512,0.798,8.53943342025519e-06
"PCDH10",4.49990513629951e-09,-0.0188782434172942,0.324,0.629,8.99981027259902e-06
"SMOC2",4.84029638651730e-09,0.0628829176479002,0.248,0.605,9.68059277303459e-06
"TSPO",5.11231426636212e-09,0.0276225911436287,0.498,0.792,1.02246285327242e-05
"RAB32",5.19615265764838e-09,0.0407166669780724,0.668,0.96,1.03923053152968e-05
"PCDH9",6.05353152323649e-09,0.0395470333684951,0.219,0.355,1.2107063046473e-05
"GSG1L",6.22075890436573e-09,0.0315693970444124,0.205,0.431,1.24415178087315e-05
"TKTL1",6.48232555953386e-09,0.0596293706427741,0.684,0.997,1.29646511190677e-05
"ONECUT2",7.19615697347507e-09,-0.0638656758813844,0.374,0.506,1.43923139469501e-05
"GAS2L3",7.75212606438928e-09,0.0405398341016757,0.686,0.986,1.55042521287786e-05
"PKP2",1.01922101833937e-08,-0.0155848991910417,0.384,0.696,2.03844203667873e-05
"DSC3",1.02405121552548e-08,-0.0198698741788982,0.149,0.35,2.04810243105096e-05
"HIST1H2AC",1.04269832597465e-08,0.0279480652781305,0.461,0.77,2.08539665194931e-05
"FZD7",1.04788435772862e-08,0.0111961759974766,0.621,0.874,2.09576871545724e-05
"FAM181A",1.07918825633762e-08,-0.028022295611131,0.681,0.989,2.15837651267525e-05
"ARMCX2",1.1505797474188e-08,0.0342176857777376,0.418,0.744,2.30115949483761e-05
"DLX5",1.34577008176595e-08,-0.0143703253066096,0.192,0.434,2.69154016353191e-05
"CDCA2",1.35006840862141e-08,-0.0579787329202298,0.646,0.888,2.70013681724283e-05
"C1QTNF7",1.36262460245981e-08,0.0156268431860389,0.229,0.604,2.72524920491962e-05
"OAS2",1.42774827300128e-08,0.011953332464908,0.202,0.569,2.85549654600256e-05
"ZFP36L1",1.50578829538921e-08,0.160612986421023,0.905,0.938,3.01157659077842e-05
"FOSL1",1.63262871451107e-08,-0.0196661378385926,0.234,0.418,3.26525742902213e-05
"A2M",1.89013622961245e-08,0.203521835231372,0.429,0.833,3.78027245922489e-05
"LIFR",2.79279191931622e-08,0.036018612044535,0.337,0.665,5.58558383863243e-05
"RPRM",3.39979762564124e-08,-0.0364663593737016,0.388,0.65,6.79959525128249e-05
"TNC",3.53652889915399e-08,0.0118086208367688,0.288,0.634,7.07305779830798e-05
"LINC00461",4.08381277075403e-08,0.0747665163953498,0.647,0.941,8.16762554150805e-05
"HOXB8",5.34729454815836e-08,0.0121921320761674,0.203,0.545,0.000106945890963167
"HS3ST1",5.35703530878483e-08,-0.019699278228107,0.179,0.392,0.000107140706175697
"TK1",5.41387247212101e-08,-0.0468903573045281,0.621,0.875,0.00010827744944242
"IGF2.1",5.48072752872061e-08,-0.0249700165756298,0.213,0.371,0.000109614550574412
"KCNMA1",5.92844864081893e-08,0.0110571590354044,0.189,0.574,0.000118568972816379
"ATP1A2",6.65762267045619e-08,-0.0191590087369684,0.229,0.432,0.000133152453409124
"NID2",6.67505228965556e-08,-0.0414061652901908,0.166,0.326,0.000133501045793111
"AHR",6.68873677734646e-08,-0.0356620248888136,0.194,0.509,0.000133774735546929
"GATA6-AS1",6.91879870994563e-08,-0.0192640753315719,0.215,0.465,0.000138375974198913
"FADS1",7.66601214671905e-08,0.157870756377079,0.922,0.944,0.000153320242934381
"TRH",1.03809874316486e-07,-0.0192461124062913,0.152,0.373,0.000207619748632972
"HOXB9",1.31080035640862e-07,0.0187345449940689,0.191,0.389,0.000262160071281724
"GDF10",1.36312180014354e-07,0.0122776591367493,0.243,0.586,0.000272624360028708
"VASH2",1.38153191768552e-07,0.0129521433210496,0.241,0.411,0.000276306383537104
"TPBG",1.48128914238607e-07,-0.0510117952625685,0.372,0.668,0.000296257828477214
"GSTO1",1.69285597286889e-07,0.0164396750581245,0.588,0.907,0.000338571194573778
"RAB11FIP1",1.80527709507162e-07,0.0156521660164586,0.383,0.498,0.000361055419014324
"PDLIM1",1.82515054492742e-07,0.0465277751492337,0.581,0.898,0.000365030108985483
"BTG2",1.96729780488201e-07,0.029308831128379,0.47,0.583,0.000393459560976401
"LUM",1.97493828748635e-07,-0.015143067344203,0.434,0.744,0.000394987657497271
"JOSD2",2.5242399163876e-07,-0.0278230104756336,0.315,0.632,0.00050484798327752
"ENC1",2.52490728750623e-07,-0.0145881217207849,0.64,0.898,0.000504981457501246
"SLC1A2",2.80703267428643e-07,-0.0280722173174429,0.301,0.46,0.000561406534857285
"PTN",2.85968021245348e-07,0.148749475542064,0.988,0.999,0.000571936042490697
"FGFBP3",3.0574287634682e-07,0.163385734746026,0.932,0.985,0.000611485752693639
"DBNDD1",3.5633344779967e-07,0.0178155760304973,0.386,0.689,0.000712666895599341
"CDKN2A",3.85088019727164e-07,0.0396473440060755,0.27,0.598,0.000770176039454327
"MMP23B",3.97597540302085e-07,0.010171667664211,0.188,0.371,0.00079519508060417
"LAPTM4A",4.71067408685229e-07,-0.076996049966482,0.628,0.876,0.000942134817370458
"IGFBP5",4.80432438035975e-07,-0.114775220275297,0.49,0.751,0.000960864876071951
"H2AFX",5.12335335720858e-07,0.138926142541498,0.944,0.963,0.00102467067144172
"FDXR",5.40041466761794e-07,-0.026990715950275,0.449,0.533,0.00108008293352359
"HLA-E",5.93279302603867e-07,0.0108081565049878,0.403,0.703,0.00118655860520773
"CYR61",6.26978080582914e-07,0.0615448448646587,0.491,0.784,0.00125395616116583
"MDM2",6.56338993039458e-07,-0.0328322911703831,0.588,0.836,0.00131267798607892
"HEXA",7.11779808427222e-07,0.0560573772818564,0.431,0.547,0.00142355961685444
"TNNC2",1.00721771748881e-06,-0.0242166012942786,0.366,0.631,0.00201443543497763
"PLP2",1.12769076381419e-06,-0.0209258142372308,0.338,0.673,0.00225538152762838
"RFC3",1.27696809203694e-06,-0.0551140691447738,0.697,0.908,0.00255393618407387
"KIF2C",1.38309302997071e-06,0.146019863553988,0.749,0.787,0.00276618605994141
"KLF6",1.45027394889921e-06,-0.0408838397859994,0.475,0.747,0.00290054789779841
"OGN",1.46733732478345e-06,-0.021669923156676,0.202,0.559,0.00293467464956689
"ATP1B1",1.5564283326624e-06,-0.0814673071582743,0.739,0.948,0.0031128566653248
"ZBTB18",1.60362971086033e-06,0.0331387961966206,0.428,0.704,0.00320725942172067
"HIST1H2AH",1.71689472038951e-06,-0.0239677374703404,0.497,0.775,0.00343378944077901
"NUAK1",1.72696396189446e-06,-0.0391724969222524,0.381,0.659,0.00345392792378892
"FBXO32",1.81376411145665e-06,-0.0112138133506181,0.301,0.609,0.0036275282229133
"MEOX1",2.16183550208606e-06,-0.0388481994194081,0.284,0.427,0.00432367100417212
"ANK3",2.17367892354479e-06,-0.0178788884629228,0.49,0.766,0.00434735784708958
"EPHA3",2.21097113096026e-06,0.0192990328627247,0.27,0.431,0.00442194226192053
"FOSB",2.25090909471314e-06,0.0137206010401233,0.318,0.621,0.00450181818942629
"ANXA3",2.33120868747276e-06,-0.0252029763956995,0.279,0.611,0.00466241737494552
"TNFRSF1B",3.0463963104674e-06,0.043438994366577,0.414,0.693,0.0060927926209348
"MGP",3.07377780465218e-06,0.0723114606729381,0.328,0.472,0.00614755560930436
"CNR1",3.18158515118296e-06,0.0289779839835496,0.431,0.718,0.00636317030236591
"HIST1H1A",3.19499337302823e-06,-0.0133593950330591,0.451,0.564,0.00638998674605646
"POU5F1",3.94530701382343e-06,-0.123826008763559,0.27,0.465,0.00789061402764686
"H1F0",4.21836819571784e-06,0.0558942662078832,0.68,0.96,0.00843673639143569
"TNNT1",5.05661906701096e-06,-0.0250178901044436,0.247,0.414,0.0101132381340219
"GSX2",5.24489046453136e-06,-0.0336436346993502,0.147,0.384,0.0104897809290627
"PSRC1",6.0917595108063e-06,0.143548168331285,0.778,0.819,0.0121835190216126
"SULF2",6.09292818510555e-06,-0.025069076452616,0.22,0.404,0.0121858563702111
"SRRM4",6.15624594975741e-06,-0.0580776914049346,0.452,0.698,0.0123124918995148
"CPE",6.33152325467642e-06,0.0188262564139061,0.589,0.856,0.0126630465093528
"GUCY1A1",6.37099617134979e-06,-0.0546105195113032,0.329,0.603,0.0127419923426996
"STXBP6",7.81901876281867e-06,-0.0207489174550027,0.488,0.744,0.0156380375256373
"APOE",8.70085531854957e-06,0.0873072478210609,0.423,0.548,0.0174017106370991
"ANLN",8.80915540224421e-06,-0.048058126228066,0.515,0.765,0.0176183108044884
"FXYD5",8.86573417642738e-06,-0.0498246466727026,0.298,0.496,0.0177314683528548
"PTGR1",9.04899434745049e-06,0.0292102014803445,0.652,0.926,0.018097988694901
"CTNNA2",9.05713936156781e-06,-0.0208314370237538,0.319,0.613,0.0181142787231356
"CLU",1.02982251255935e-05,-0.0676815318570783,0.729,0.954,0.0205964502511869
"PDPN",1.10818255332434e-05,0.0966622458199395,0.766,0.857,0.0221636510664869
"GUCY1A2",1.12594980011652e-05,0.0116280721587688,0.372,0.666,0.0225189960023304
"ZWINT",1.17088241941852e-05,0.116736202477264,0.718,0.772,0.0234176483883704
"PHLDB2",1.21431349735176e-05,0.0358778635187638,0.35,0.498,0.0242862699470352
"UHRF1",1.26709146735849e-05,0.104853074580888,0.669,0.723,0.0253418293471699
"SUPT16H",1.29432604264064e-05,0.105144803399476,0.965,0.972,0.0258865208528127
"HTRA1",1.31870690259657e-05,0.105845318203993,0.483,0.779,0.0263741380519314
"MCM8",1.37310576634105e-05,-0.0326801879388363,0.446,0.715,0.027462115326821
"SEMA3E",1.49085894826976e-05,-0.019074288688126,0.226,0.428,0.0298171789653953
"TMPO",1.91345844716287e-05,0.120416633220164,0.949,0.972,0.0382691689432573
"NFIA",1.99824648278442e-05,-0.0250318350193219,0.242,0.386,0.0399649296556884
"TMTC1",2.02776358797171e-05,0.0186790249941848,0.358,0.516,0.0405552717594343
"REEP1",2.09456939581112e-05,0.0117780850182254,0.223,0.431,0.0418913879162224
"BAX",2.23724116898397e-05,0.138122334072595,0.814,0.867,0.0447448233796793
"WNT7B",2.25519705740713e-05,0.0618317590548234,0.549,0.855,0.0451039411481426
"MSX2",2.31691651933826e-05,0.0599534101717712,0.529,0.608,0.0463383303867652
"DST",2.34396289904404e-05,-0.0424534030858369,0.681,0.917,0.0468792579808809
"FLRT2",2.61357710280917e-05,0.012126777517615,0.258,0.579,0.0522715420561834
"RBFOX3",2.69610220978812e-05,-0.0141420584535883,0.216,0.432,0.0539220441957624
"BACE2",2.96932177696023e-05,0.0279534093638592,0.421,0.685,0.0593864355392046
"PLIN5",2.98324461533101e-05,0.0132685738771541,0.472,0.731,0.0596648923066203
"PRKAA2",3.22161354033827e-05,0.0137722489097261,0.482,0.595,0.0644322708067653
"FBN2",3.26603384060118e-05,-0.0128901806229673,0.546,0.826,0.0653206768120236
"XBP1",3.31178924734226e-05,-0.0458563777871309,0.63,0.849,0.0662357849468452
"CYSTM1",3.41470971468723e-05,0.0531388620054395,0.514,0.608,0.0682941942937446
"GDF15",3.44996741074075e-05,-0.0214960409678159,0.306,0.502,0.0689993482148149
"EDNRA",3.85049766926714e-05,0.0160776367984958,0.221,0.526,0.0770099533853428
"DPPA4",3.90565945900493e-05,-0.010161306400959,0.694,0.96,0.0781131891800986
"RANGAP1",3.98638964180418e-05,-0.024522399277257,0.712,0.922,0.0797277928360837
"CENPV",4.05631486007659e-05,0.11927151644846,0.994,0.998,0.0811262972015319
"SHC1",4.37993958895649e-05,0.0148170374211384,0.422,0.721,0.0875987917791298
"CENPA",4.52006954703291e-05,-0.0575033142666739,0.736,0.932,0.0904013909406583
"CAVIN1",5.80968305509736e-05,0.0123126656057776,0.237,0.562,0.116193661101947
"SERTAD1",6.34290136460242e-05,0.0181511618842729,0.292,0.592,0.126858027292048
"ASPHD1",6.74547633789857e-05,-0.0142702275762879,0.218,0.572,0.134909526757971
"RFLNB",6.82256723377061e-05,0.0181234009095951,0.335,0.505,0.136451344675412
"NPR3",7.20843684930899e-05,0.0207208172222654,0.111,0.343,0.14416873698618
"GRIA1",7.23552428978485e-05,0.0210757970769326,0.341,0.511,0.144710485795697
"SP5",7.38920992707542e-05,-0.017221317267161,0.203,0.425,0.147784198541508
"BIN1",7.43443018491575e-05,0.0444086858909314,0.509,0.797,0.148688603698315
"HOXB5",7.67988365965717e-05,-0.0102336529508397,0.213,0.421,0.153597673193143
"MAFB",7.80296079656586e-05,0.0213530307747751,0.322,0.609,0.156059215931317
"CDC42EP5",8.34700863621132e-05,0.0213741305662045,0.276,0.589,0.166940172724226
"TBX3",9.03911393407346e-05,-0.0163603943534435,0.131,0.498,0.180782278681469
"DTL",9.59292454922447e-05,0.0220125314422831,0.426,0.561,0.191858490984489
"SFPQ",9.88149682000398e-05,0.107075552851167,0.994,0.993,0.19762993640008
"KIF26B",0.000101013380422287,0.0223397758921916,0.331,0.598,0.202026760844574
"BLVRB",0.000105601591373633,0.0232971273840873,0.407,0.716,0.211203182747266
"LAMA4",0.000118431621745447,0.036747654793602,0.356,0.657,0.236863243490893
"PODXL",0.000127960230261709,-0.0538456573749438,0.544,0.769,0.255920460523418
"SMOC1",0.00015130418099342,0.0400889509230986,0.627,0.921,0.30260836198684
"PLTP",0.000158156018006532,-0.0662519588499898,0.644,0.83,0.316312036013064
"HSP90AA1",0.00016000794270591,0.0838393681316996,0.999,1,0.32001588541182
"IGFBP2",0.000163815868691797,-0.15525556181797,0.996,1,0.327631737383595
"NCAM1",0.000164382122098751,-0.0203638225224977,0.389,0.517,0.328764244197502
