"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYB5R1",0.000168668370171626,-0.0237331032648298,0.263,0.444,0.337336740343252
"PTX3",0.000172041530404812,0.040426548320157,0.606,0.875,0.344083060809623
"ATP1A3",0.000172990007554113,0.0233817009291252,0.463,0.727,0.345980015108226
"TMEM178A",0.000174971356973205,0.0254731586199223,0.358,0.637,0.34994271394641
"COL4A1",0.00017726676467355,0.0137641007725905,0.583,0.854,0.3545335293471
"TPM4",0.000187798235057442,0.0998922253203285,0.956,0.992,0.375596470114884
"QSOX1",0.000194899538049705,0.0157763468876279,0.306,0.497,0.38979907609941
"LRRC17",0.000197407290460557,0.0378777274842672,0.291,0.475,0.394814580921114
"AC009041.2",0.000198019433593762,0.0197035822161334,0.234,0.446,0.396038867187525
"FBN1",0.000203486345048658,0.0351568182884112,0.346,0.647,0.406972690097316
"NR6A1",0.000214652012369346,-0.0594045464649785,0.73,0.899,0.429304024738692
"MCM5",0.000215828528251024,0.0641286275109584,0.586,0.666,0.431657056502048
"PRKDC",0.000219714870974724,0.0915466783395407,0.985,0.993,0.439429741949448
"TRIM22",0.000237401388976329,0.0132456423347611,0.328,0.628,0.474802777952658
"GYG1",0.000273327063519834,0.0111771659868692,0.47,0.729,0.546654127039668
"SQSTM1",0.000280169872792168,-0.0315086854445339,0.543,0.778,0.560339745584336
"FTH1",0.000288302862229436,-0.0501094672837059,1,1,0.576605724458872
"LGALS3BP",0.000288948612335248,0.0393349150425155,0.293,0.606,0.577897224670496
"ADGRL3",0.000301041018934368,0.055235167246252,0.544,0.646,0.602082037868735
"EPHA7",0.000309546184973692,0.0276391275916182,0.504,0.716,0.619092369947384
"CCPG1",0.000314331260429248,0.0210240520404247,0.446,0.703,0.628662520858496
"CRABP1",0.000320067609580408,-0.185544020655447,0.993,0.997,0.640135219160817
"CHCHD2",0.000331124290163133,0.175063133860043,0.859,0.949,0.662248580326265
"SPATS2L",0.000337843691481296,0.125514548754886,0.578,0.712,0.675687382962593
"KIF23",0.000393159113060366,-0.036860622045804,0.62,0.835,0.786318226120733
"EDNRB",0.000407992857891107,0.0218702138047626,0.647,0.933,0.815985715782214
"LDB3",0.000410473287731212,0.0115977203625828,0.308,0.514,0.820946575462425
"CTSK",0.000422799133480401,0.0183398474549357,0.214,0.409,0.845598266960802
"CCND1",0.000438134163544433,0.14448522569668,0.879,0.927,0.876268327088867
"STK17A",0.000445291105572748,-0.0234241574001185,0.347,0.51,0.890582211145496
"CHRM3",0.000453465148841627,-0.0199408788008392,0.249,0.547,0.906930297683254
"CCBE1",0.000460960471695,0.0248537694988675,0.168,0.421,0.921920943390001
"HMGB1",0.000472961001985699,0.0397475966681586,1,1,0.945922003971397
"MYBPC1",0.000481034612803172,-0.0102142088178969,0.197,0.509,0.962069225606344
"PCDH8",0.00049661227087703,-0.0531026413482251,0.594,0.752,0.993224541754061
"GATA6",0.000501044269941927,-0.0295893138711118,0.179,0.505,1
"KHDRBS3",0.000526523117377073,0.0299583035562895,0.465,0.584,1
"BMP7",0.00053734912297078,0.0508587708370245,0.267,0.453,1
"CKS1B",0.00054363515789188,0.0913943453406971,0.991,0.996,1
"DBF4",0.000572496776292725,0.09343157230549,0.774,0.808,1
"SMC4",0.000572685163157789,0.128796765781739,0.842,0.846,1
"ASPM",0.000575141552936954,0.128291298405394,0.821,0.83,1
"LINC02334",0.00058196183149457,-0.0239097692873378,0.187,0.5,1
"ISLR",0.00063830899999676,0.010258779032837,0.242,0.553,1
"NEK2",0.000649342119706616,0.0177779150553895,0.7,0.932,1
"C21orf58",0.000668690804651669,-0.0215321606260803,0.781,0.975,1
"KPNB1",0.000685565877903966,0.0830397800499747,0.968,0.981,1
"PFKP",0.000732308624909657,-0.0162695390057015,0.427,0.54,1
"SKA3",0.000782634115083066,0.0686058422751756,0.481,0.616,1
"DAAM1",0.000790601214132691,0.107833332204992,0.884,0.979,1
"IKBIP",0.000796961960639575,-0.0388024581294061,0.594,0.804,1
"HNRNPU",0.000833159361967981,0.105002946142864,0.99,0.994,1
"POU2F2",0.000886861333160129,-0.0229039362667804,0.401,0.549,1
"DHCR24",0.00101840139492574,0.0935146710337263,0.753,0.816,1
"VAMP5",0.00104812978734453,0.0333815750346511,0.47,0.735,1
"CCNB1",0.00106586238542162,0.0970958374190292,0.954,0.963,1
"CNTN2",0.00109441420404008,0.0102498444238618,0.257,0.502,1
"MMP2",0.00112178853447276,-0.0130608468845963,0.469,0.711,1
"ARL6IP1",0.00130756992130263,0.102133795678411,0.955,0.979,1
"RAB3B",0.00133749342115276,-0.0542541687479522,0.386,0.529,1
"DLGAP5",0.00133997402423876,0.101462017166188,0.881,0.901,1
"COL6A2",0.00142559800499297,0.0147946424727055,0.286,0.589,1
"RBMS3",0.0014469455619658,-0.020256422144435,0.223,0.4,1
"JUN",0.00145727388228245,0.143177356173902,0.475,0.64,1
"BBC3",0.00155335478383264,-0.0231549756142113,0.375,0.536,1
"HLA-B",0.00157493779077443,0.0554430187826951,0.482,0.604,1
"AL513283.1",0.00159420968924352,0.0112774187907856,0.126,0.415,1
"NKAIN4",0.00159817950992102,0.0527757635043624,0.66,0.944,1
"IFI27L2",0.00163105509986609,-0.0229110541523435,0.651,0.894,1
"HIST1H2BC",0.00165911489589189,-0.0217947716836556,0.315,0.59,1
"COL2A1",0.00170459386093783,-0.0985836305381953,0.695,0.848,1
"TOP2A",0.00173578878408074,0.115075567145836,0.967,0.966,1
"CARMN",0.00174169514925562,-0.0118127806571597,0.211,0.489,1
"CTSL",0.00175227812156068,0.0377691602340381,0.528,0.756,1
"PLAGL1",0.00176676299745429,-0.0481901474581223,0.612,0.799,1
"FLNA",0.00176897307293211,0.0834476661662282,0.804,0.885,1
"TAGLN2",0.00179426874743775,-0.103264496733971,0.396,0.631,1
"VAMP8",0.00185942550165882,0.0141485779063498,0.239,0.547,1
"SLFN5",0.00188398046533458,0.0239162003155283,0.17,0.473,1
"UCHL1",0.00197680031519341,0.0968052287946299,0.909,0.947,1
"HMOX1",0.00199319797930686,-0.0156958901303924,0.282,0.563,1
"SEZ6L2",0.0020218794050203,-0.0123012520576575,0.366,0.547,1
"CTSV",0.00209609558982144,-0.0102114731860007,0.464,0.608,1
"NDUFA4L2",0.00223029281160155,-0.0125459546982789,0.194,0.431,1
"TPX2",0.00224738946013424,0.101661881997333,0.938,0.947,1
"CRMP1",0.00225218663432352,0.0821800944221438,0.888,0.939,1
"HES5",0.0024405363633675,-0.0180356525079031,0.925,0.998,1
"RRAGD",0.00246846783419537,0.0379345226236539,0.507,0.78,1
"FAM83D",0.00247426874531729,-0.0636297862955204,0.626,0.792,1
"ABCA1",0.00248835469117082,-0.0121627996894431,0.411,0.663,1
"ACTA2",0.00255833737769458,-0.015718280265767,0.326,0.491,1
"ELAVL2",0.00257833634511053,-0.0135957446347838,0.52,0.74,1
"GSE1",0.00258888203949021,-0.038857600258985,0.311,0.584,1
"NEFM",0.00265253566584378,0.0457326900024548,0.613,0.85,1
"SERPINH1",0.00276577463326835,-0.0499317242560772,0.718,0.895,1
"MTRNR2L8",0.00279513204181711,0.0235281039477157,0.578,0.669,1
"GADD45B",0.00280152984810915,0.0234446659631417,0.306,0.582,1
"SLC3A2",0.0029668614774326,-0.0727323755491524,0.755,0.908,1
"MELK",0.00297879322424262,0.0355610074880305,0.536,0.634,1
"PRRX1",0.00299000382790025,0.0180882625497878,0.321,0.511,1
"ISYNA1",0.00303885716071541,-0.0766441719941637,0.856,0.953,1
"DCN",0.00311913458792332,0.0250360588632653,0.383,0.524,1
"FEZ1",0.00317661566289042,0.0666276961169171,0.771,0.945,1
"SH3PXD2A",0.0031950166150507,-0.0256890500367234,0.302,0.563,1
"HLA-C",0.00319588076980089,0.125953340892367,0.662,0.824,1
"NNAT",0.00339922755849989,-0.0882033383835575,0.283,0.452,1
"PCBP4",0.00358352917405133,-0.0258589643681486,0.692,0.881,1
"RGMB",0.00368714024423762,0.0353998791494641,0.41,0.67,1
"MYRF",0.00379921924626928,-0.0130530724668368,0.26,0.567,1
"BUB1",0.00398031631951418,-0.0496340376667173,0.66,0.826,1
"COL5A1",0.00409439315878355,0.0197706657123172,0.271,0.562,1
"HIST1H1E",0.00414380566299717,-0.0197235324912748,0.466,0.703,1
"CRYBB1",0.00414796738003184,-0.0533436611287981,0.29,0.568,1
"TMEM88",0.00420793097004009,-0.122203003754143,0.308,0.481,1
"APOL2",0.00422301267592306,0.0358809557396299,0.255,0.547,1
"WNT3A",0.00424990688158074,-0.0131088237455557,0.201,0.431,1
"PCOLCE",0.00432591016007264,-0.0230887817313063,0.342,0.509,1
"ZC3HAV1",0.00472168015160878,0.0547700447354412,0.476,0.738,1
"NES",0.00476492656021999,0.056365496368922,0.967,0.988,1
"NR3C1",0.00482008644072027,0.0141732464962115,0.205,0.508,1
"TPM2",0.00495331748006819,0.098587495212233,0.893,0.982,1
"ID4",0.00496850707400928,0.0713472040998185,0.71,0.956,1
"FBXO5",0.00496884222017039,-0.0622807635641875,0.648,0.805,1
"BBS9",0.00514733829208665,-0.0706368374686182,0.39,0.537,1
"COL18A1",0.00517047898482741,-0.0133434333226727,0.459,0.586,1
"DDIT3",0.00517967929893477,0.0237757586186912,0.308,0.598,1
"OLIG3",0.00533640974668934,-0.101556882133038,0.227,0.461,1
"FZD3",0.00564484494838594,0.0830730094183116,0.948,0.992,1
"NEFH",0.00569273210387836,0.016210992931771,0.232,0.536,1
"PAX6",0.005703777852813,0.0705489353280357,0.834,0.995,1
"CCL2",0.00590325162411821,-0.0272007146178641,0.287,0.575,1
"SESN3",0.00612746453417753,0.0350045104613179,0.504,0.608,1
"DPYSL5",0.00616401188917618,0.0673090283580783,0.819,0.921,1
"ITPR2",0.00623847976866966,-0.0178366799802439,0.343,0.608,1
"CD81",0.00632387719607237,-0.0853271157852151,0.938,0.984,1
"FOXD1",0.00633420572715284,-0.0811772902667769,0.194,0.493,1
"HMGCS1",0.00659657329621158,-0.0869626497092064,0.85,0.959,1
"SLC7A5",0.00659839580783437,-0.0220685514316467,0.438,0.672,1
"TMSB10",0.00668331793575905,-0.0637014993284382,1,1,1
"ATF7IP2",0.0067452924279776,-0.0302346690742642,0.545,0.764,1
"NUCKS1",0.00689995247090686,0.0304195361339401,0.999,1,1
"TTK",0.00704009317630497,-0.0224761659474308,0.669,0.856,1
"ZYX",0.00706522143221537,0.0177936151998334,0.365,0.64,1
"SPHK1",0.00721047274049033,0.0469993404846808,0.562,0.782,1
"CEP55",0.00734335842239732,0.0195291332709376,0.671,0.89,1
"FABP3",0.00754511035133214,-0.018202200744791,0.269,0.495,1
"REC8",0.00765195736949392,-0.0206574848822737,0.385,0.536,1
"ATOH8",0.00779774544728845,0.0594936037148121,0.325,0.511,1
"OLIG1",0.00795899891339462,-0.016390071231561,0.112,0.444,1
"TIMP3",0.00813572381862239,0.0206843598511565,0.192,0.412,1
"CCND2",0.00832261919618447,-0.0949602665254342,0.607,0.747,1
"PGK1",0.00832885598105874,-0.106553337289738,0.861,0.945,1
"TTF2",0.0085962787054766,0.0247186057680221,0.546,0.636,1
"CDC25C",0.00860779299602354,0.0102241295277029,0.61,0.808,1
"IER5L",0.0086486878622984,-0.0382741924948327,0.507,0.715,1
"DSEL",0.00865678821966497,-0.0173654707882629,0.237,0.444,1
"CHD7",0.00897260455234998,0.0937961163691785,0.925,0.962,1
"NPTX1",0.00909557287238832,0.0196100929444735,0.208,0.408,1
"HMGB2",0.0093370738409255,0.0615782436859993,0.991,0.997,1
"SCD",0.00935272092885991,0.0715429202698896,0.889,0.953,1
"MEIS2",0.00947453817340977,0.0879366653109499,0.853,0.909,1
"PTPRZ1",0.00957157961715009,0.070548880392614,0.776,0.973,1
"CST3",0.00977265452252139,-0.0651524212413646,0.869,0.956,1
"S100A4",0.0102342760872076,-0.0384060497075387,0.252,0.47,1
"KIF21A",0.0103676706354673,0.0573992526579972,0.846,0.978,1
"DACH1",0.0106569292751138,0.0811641213361589,0.614,0.722,1
"CDKN1A",0.0108187430152145,-0.0318063411115579,0.322,0.579,1
"HES1",0.0108864198462378,0.0289938789252034,0.509,0.748,1
"IFI35",0.0112134521301717,0.0104998111900652,0.183,0.499,1
"IRX2",0.0114701640155933,-0.0386551651914928,0.819,0.963,1
"PA2G4",0.0117834326517065,0.0564878675584874,0.981,0.99,1
"RGS16",0.0118447961123431,-0.0363196340539305,0.296,0.498,1
"CDH2",0.0119020709605688,0.0541976957182011,0.984,0.998,1
"CALU",0.0119251948291791,-0.0499609740148559,0.888,0.988,1
"NRP1",0.0121630619941706,-0.018591507060085,0.234,0.523,1
"ADAM9",0.012214820443433,0.0407711965103359,0.408,0.582,1
"POU3F3",0.0122304142234428,0.0576780510209211,0.727,0.998,1
"SRGAP3",0.012335950433745,0.0742656723892364,0.826,0.947,1
"CENPF",0.0128918504868694,0.0690524216209485,0.996,0.997,1
"S100A11",0.0128986458913091,0.0324307369345693,0.475,0.628,1
"ZFHX4",0.0129146288799897,0.12072016937308,0.705,0.882,1
"POSTN",0.0134473476063169,-0.0109778835155805,0.3,0.578,1
"TUBB6",0.0141724684047302,0.0983304377559341,0.779,0.915,1
"PCDH18",0.0142112086770988,0.0619979963646455,0.67,0.928,1
"TMEM158",0.0143228798640658,-0.029412184930533,0.414,0.651,1
"ALX4",0.0146620501646787,0.0110471021770728,0.24,0.436,1
"MT-ND1",0.0152606452897642,0.0688533707027412,0.999,1,1
"FOXM1",0.0152725098012321,0.0548070337161681,0.742,0.817,1
"EMP3",0.0154123095644446,0.0122407671831941,0.443,0.576,1
"PEG10",0.015498152339144,-0.0743609333685966,0.948,0.989,1
"NRP2",0.0157031106216047,0.0253128291139146,0.333,0.528,1
"LAYN",0.0157073685600263,0.0237614705928336,0.301,0.619,1
"GPC3",0.0160783260637302,0.0283806189228434,0.59,0.85,1
"CEBPB",0.0161324454853374,-0.0171305670046353,0.311,0.579,1
"LIX1",0.0165164526561118,0.0181287328580685,0.66,0.857,1
"FAT3",0.0165582848129206,-0.0231102752408315,0.515,0.731,1
"HOXC9",0.0166375218833464,0.016784351763499,0.209,0.515,1
"CBLB",0.0167327633885405,0.024275741802896,0.385,0.637,1
"TPM1",0.0168036704902169,0.0150592245194954,0.864,0.914,1
"FN1",0.0170340259666986,-0.0986711475381822,0.541,0.73,1
"IFITM2",0.0173679595759586,0.156651984067564,0.612,0.911,1
"L1TD1",0.0176945369353639,-0.0206304217200836,0.309,0.594,1
"RUNX1T1",0.0178158143195616,-0.0241325627755106,0.229,0.515,1
"MT-ND4",0.0182208457283303,0.0608960766150384,1,1,1
"RACGAP1",0.0183576710194234,-0.0458786115545127,0.581,0.755,1
"CHAF1A",0.0184125660141814,0.0701054239620362,0.726,0.794,1
"DEPDC1",0.0184186899163298,-0.0210489784053033,0.549,0.762,1
"LAMB1",0.0186952602120431,0.0312397453796761,0.299,0.506,1
"CAMK2N1",0.0192052410260137,-0.0219981441400501,0.591,0.808,1
"MT-CO3",0.0193780016157425,0.0566338899160685,1,1,1
"DHFR",0.0199428233755883,0.0498778421968727,0.79,0.84,1
"ADAMTS9",0.0200291067889199,-0.0276300072831468,0.155,0.388,1
"PRPH",0.0200551834195408,-0.0179964231659439,0.247,0.48,1
"SELENOW",0.0206071199655715,-0.0810985032699303,0.907,0.976,1
"MAD2L1",0.0206082404205147,0.055471400563506,0.919,0.924,1
"ECT2",0.0206313021081042,0.123060549991352,0.827,0.92,1
"DNAJC9",0.0216109776419567,0.0720070159377644,0.854,0.903,1
"GLRX",0.021980445012196,0.0223593839396898,0.401,0.658,1
"SEMA5A",0.02222508900699,0.0359394063226824,0.413,0.687,1
"WNT2B",0.0224874344026392,0.0429673100500672,0.274,0.482,1
"CDCA3",0.0227042092240291,0.0436660881587925,0.745,0.782,1
"OGFRL1",0.0238768809127628,-0.0217840086412562,0.247,0.53,1
"FOXB1",0.0239533631094231,0.0528951123339763,0.455,0.601,1
"HSBP1L1",0.0239914007495742,0.012183810119462,0.311,0.525,1
"ADAMTS1",0.0242730707252177,0.0129207793212347,0.335,0.521,1
"UGCG",0.0261144270181294,0.0767067255285502,0.479,0.637,1
"PCDH7",0.0261686800128838,0.0161663993904927,0.239,0.447,1
"CENPW",0.0264554242588889,-0.0523848460099618,0.869,0.958,1
"LGALS1",0.027138347153548,0.0872420803519686,0.655,0.756,1
"ADAM12",0.0280732443053994,-0.0129161299831418,0.239,0.511,1
"MAP6",0.02814927692682,-0.0108419972419465,0.54,0.798,1
"CALM1",0.0288859630818194,-0.0818717764753667,0.999,1,1
"DPYSL3",0.0289134564446671,0.056476350992733,0.66,0.779,1
"BNC2",0.0290687088087389,0.012564157495367,0.291,0.489,1
"TPPP3",0.0297902269639689,-0.0781684661658971,0.446,0.652,1
"LMNB1",0.0298781004518854,0.0801039192288708,0.933,0.971,1
"HSPD1",0.0299260411029647,0.0470182531398504,0.996,0.999,1
"TUBB4B",0.0301446705764802,0.0480726610003446,0.988,0.993,1
"MXRA8",0.0312818775111179,-0.0435711201760342,0.287,0.485,1
"GATM",0.0316113846858311,0.0257909570646375,0.331,0.607,1
"SLC7A11",0.0316675554437496,-0.047010394129362,0.302,0.567,1
"SESN2",0.0323068801487915,-0.0415887631752553,0.372,0.626,1
"IGDCC3",0.0324356681806977,0.060877384999003,0.973,0.985,1
"DDR2",0.0328229147389287,-0.023885685394171,0.302,0.575,1
"CDC20",0.0333758042475852,0.0602310067889171,0.938,0.988,1
"CALD1",0.0335390047451388,-0.0565749898296473,0.866,0.934,1
"RANBP1",0.0342200424235783,0.0439189600169794,0.999,0.998,1
"MT-CO1",0.0345204693529655,0.0591529957176133,1,1,1
"ACAT2",0.0349457483972675,0.0509906007606702,0.928,0.957,1
"NFASC",0.0350502680197044,-0.0416546861523167,0.428,0.64,1
"MAF",0.0362328643220705,-0.013195404866525,0.443,0.682,1
"SLC1A5",0.0376929256745387,0.0760566788931094,0.643,0.754,1
"DSG2",0.0378174804806235,-0.0358169493149979,0.49,0.705,1
"CYBA",0.037961663010963,-0.0117801272119333,0.599,0.79,1
"TIMP2",0.0385195449415011,0.0406962524017414,0.378,0.645,1
"CORO2B",0.0397028018679334,-0.0129026684322538,0.263,0.529,1
"RCAN1",0.0400263593585549,0.0167447692572323,0.431,0.664,1
"CKAP5",0.0400439261815854,0.0717035789620286,0.884,0.953,1
"MEG3",0.040121785734966,-0.0370033901653325,0.718,0.874,1
"SMC1A",0.0411695112843884,0.0520117206327309,0.832,0.881,1
"PTTG1",0.0423604449748537,0.0568938538547092,0.987,0.994,1
"TSHZ2",0.043684588644594,0.0176411978513427,0.406,0.644,1
"FEN1",0.043843684962072,-0.0273878210258235,0.736,0.859,1
"NTRK2",0.0440546908935658,0.0971748709589922,0.669,0.843,1
"PIMREG",0.0454309568528361,-0.0336103019736338,0.812,0.947,1
"CENPK",0.0459103128895064,0.0561003154456394,0.672,0.79,1
"ASF1B",0.0462739761363887,0.0624952100465886,0.53,0.679,1
"DUT",0.0467327323354929,0.0827628676059553,0.831,0.895,1
"FANCD2",0.0468028217024702,-0.0333720462327823,0.605,0.778,1
"NCL",0.0468174963673879,0.0562500424146326,0.999,0.999,1
"RHOB",0.046899788936449,-0.0242636092848686,0.374,0.559,1
"MT-ND2",0.0470323902718717,0.0583867990905373,0.997,1,1
"TIMP1",0.0472742172960089,0.0891695835086486,0.681,0.833,1
"KIF11",0.04735432000309,0.0747936102931499,0.766,0.845,1
"MFSD12",0.047410934578638,0.0228184426983121,0.411,0.65,1
"SAT1",0.0490200277624712,0.0236629270683229,0.526,0.666,1
"ENO1",0.0491241676430533,-0.0406098479015267,0.998,0.998,1
"CCNA2",0.0491283621349511,0.0875300489045781,0.806,0.881,1
"FAM111B",0.0491580232173907,0.0452904627036401,0.532,0.695,1
"KREMEN1",0.0495799180645478,0.0198570761386841,0.34,0.593,1
"EIF4G1",0.0505012556330135,-0.0288620732663909,0.72,0.864,1
"EMP2",0.0510354927157215,0.0119602367437026,0.591,0.776,1
"PHF19",0.0521353989362981,0.0484648024513988,0.615,0.824,1
"ENG",0.0522170196143236,0.0175493482654696,0.179,0.477,1
"KDELR3",0.0530860985122372,0.0119237110696336,0.231,0.529,1
"ITGA6",0.0554015579144126,-0.0298451274090518,0.575,0.744,1
"DSE",0.0563947772176956,-0.0169842612229933,0.311,0.57,1
"RBMS1",0.0569766585796915,-0.0421843507769051,0.373,0.521,1
"NUSAP1",0.0572306221074914,0.0563206860133612,0.909,0.942,1
"HIST1H2AG",0.0586481285493166,0.0134100241909174,0.525,0.653,1
"ALCAM",0.0589931264205845,-0.0141309276853183,0.276,0.547,1
"G2E3",0.0598639699534347,0.015484723393755,0.689,0.891,1
"APLP2",0.060093298128038,-0.0370501861008106,0.879,0.953,1
"SYT11",0.0611382728754197,0.115680060612092,0.718,0.968,1
"FANCI",0.0611804623597103,0.0693312698176316,0.726,0.831,1
"CKAP2",0.0614224597706186,0.0538531661639197,0.874,0.908,1
"TRPM3",0.0621106454653993,-0.015150724313805,0.206,0.513,1
"HNRNPA2B1",0.062224794742633,0.0370676564936114,1,1,1
"SLC2A1",0.0626099382643175,0.044075255129415,0.732,0.898,1
"CBLN1",0.0628070589287353,-0.0314736227078112,0.312,0.565,1
"GTSE1",0.0643340688828777,0.0824568961538936,0.772,0.849,1
"CCDC102B",0.0654385099516112,0.0107159977094707,0.287,0.5,1
"CXXC5",0.0656483769544677,0.015670450542094,0.633,0.853,1
"NLRP1",0.0667279232847402,0.0347685384591037,0.636,0.831,1
"POU3F2",0.0669719570921671,0.0746508429967103,0.872,0.961,1
"TFPI2",0.0682812690902839,-0.0410433465465396,0.247,0.546,1
"CPLX2",0.0683573173569719,0.0108863016382245,0.238,0.498,1
"LIG1",0.069001661738105,0.0530488278183109,0.541,0.667,1
"AC027031.2",0.0691321015008154,-0.0115353118316851,0.266,0.479,1
"ST8SIA4",0.0695206162516634,-0.0303991456081075,0.322,0.566,1
"HSPA9",0.0699985510557865,0.0628838249096229,0.816,0.895,1
"MT-CO2",0.0721273030467163,0.0431358195121492,1,1,1
"MYADM",0.0725334683400583,0.0358709234604855,0.425,0.662,1
"HAS2",0.073046538333973,-0.0104924320289454,0.229,0.454,1
"KRT8",0.0731715068050728,-0.175796898678757,0.367,0.537,1
"HSP90B1",0.0733723385835868,0.0282694778835784,0.994,0.996,1
"TTYH1",0.0754155957494647,0.0257647164070787,0.988,0.994,1
"RAD21",0.0765387039671868,0.0519806940908742,0.941,0.969,1
"HMGN2",0.0780158975841388,0.023626797879281,0.999,0.998,1
"SGO2",0.0803245311933949,0.0543500819402039,0.837,0.909,1
"MCM7",0.0808119775040287,0.0598311470268049,0.9,0.948,1
"UBE2T",0.0808529308568045,-0.0304291634960314,0.829,0.94,1
"CDCA8",0.0809668675886095,0.0137178115057808,0.754,0.775,1
"MKI67",0.0820683575491808,0.0363502900971282,0.947,0.963,1
"HMGA2",0.0825329876976299,0.0500528275567728,0.783,0.838,1
"HSPA5",0.0839427478878218,-0.019317582149343,0.865,0.956,1
